_id,fecha_hora,id_de_slack,nombre_usuario_slack,nombre_completo,tienes_agenda_planeada,tienes_reuniones_planeadas,con_que_areas_te_vas_a_reunir,ayunaste_hoy,tienes_deadline_hoy,alguna_tarea_te_llevo_mas_tiempo,hay_tareas_que_se_pueden_automatizar,tuviste_que_ir_a_algun_lugar_para_hacer_tus_tareas,usaste_alguna_metodologia_para_optimizar_el_tiempo,fueron_satisfactorias_las_reuniones,pudiste_resolver_tus_dudas_sobre_el_trabajo,tuviste_reuniones_planificadas,productividad_hoy,calificacion_descansos
649345b840e849bfc45ed2d2,2023-06-21 15:47:20.719,slack_user0,slack_username0,Domingo Cámara Arroyo,Si,No,['Otro'],No,Si,Si,Si,Si,Si,No,No tuve ninguna reunión,No tuve ninguna reunion,5,Suficientes pero mal distribuidos
649345b840e849bfc45ed2d4,2023-06-21 15:47:20.967,slack_user1,slack_username1,Ismael Viana Fuertes,No,Si,['Finanzas'],Si,Si,No,No,No,No,Si,"Tuve reuniones, pero, no tenía dudas por aclarar",Si,2,Insuficientes y mal distribuidos
649345b840e849bfc45ed2d6,2023-06-21 15:47:20.968,slack_user2,slack_username2,Liliana Gabaldón,Si,Si,['Otro'],No,No,No,No,No,Si,Si,No tuve ninguna reunión,No tuve ninguna reunion,5,Suficientes y bien distribuidos
649345b840e849bfc45ed2d8,2023-06-21 15:47:20.969,slack_user3,slack_username3,Carlito de Antón,Si,Si,['Rercursos humanos'],No,No,Si,No,No,Si,Si,No tuve ninguna reunión,No tuve ninguna reunion,2,Suficientes y bien distribuidos
649345b840e849bfc45ed2da,2023-06-21 15:47:20.970,slack_user4,slack_username4,Mamen Álvaro Velázquez,Si,Si,['Legal'],No,No,No,Si,Si,Si,No,"Tuve reuniones, pero, no tenía dudas por aclarar",Si,4,Suficientes y bien distribuidos
649345b840e849bfc45ed2dc,2023-06-21 15:47:20.971,slack_user5,slack_username5,Carlos Salvà Sierra,Si,Si,['Rercursos humanos'],Si,No,No,Si,Si,Si,Si,No tuve ninguna reunión,No tuve ninguna reunion,1,Insuficientes y mal distribuidos
649345b840e849bfc45ed2de,2023-06-21 15:47:20.972,slack_user6,slack_username6,Bienvenida Gimeno Amigó,No,Si,['Producto'],No,No,Si,No,No,No,Si,No,Si,4,Insuficientes pero bien distribuidos
649345b840e849bfc45ed2e0,2023-06-21 15:47:20.973,slack_user7,slack_username7,Carlos Segura-Peláez,No,No,['Producto'],No,No,No,Si,Si,Si,No,No,Si,3,Insuficientes y mal distribuidos
649345b840e849bfc45ed2e2,2023-06-21 15:47:20.974,slack_user8,slack_username8,Elvira Hoyos Tamarit,Si,No,['Producto'],Si,No,No,Si,Si,No,Si,No tuve ninguna reunión,No tuve ninguna reunion,3,Insuficientes y mal distribuidos
649345b840e849bfc45ed2e4,2023-06-21 15:47:20.975,slack_user9,slack_username9,Chita Bustamante Carretero,No,Si,['Producto'],Si,Si,Si,No,No,Si,Si,Si,Si,4,Suficientes pero mal distribuidos
649345b840e849bfc45ed2e6,2023-06-21 15:47:20.976,slack_user10,slack_username10,Amor Sales Méndez,Si,No,['Data'],Si,Si,No,No,No,No,No,No tuve ninguna reunión,No tuve ninguna reunion,3,Suficientes y bien distribuidos
649345b840e849bfc45ed2e8,2023-06-21 15:47:20.977,slack_user11,slack_username11,Patricia Godoy Montoya,No,Si,['Otro'],No,No,No,No,No,Si,Si,No,Si,2,Insuficientes pero bien distribuidos
649345b840e849bfc45ed2ea,2023-06-21 15:47:20.978,slack_user12,slack_username12,Eligio Ponce Belmonte,No,Si,['Finanzas'],No,Si,No,No,No,No,Si,No,Si,4,Insuficientes y mal distribuidos
649345b840e849bfc45ed2ec,2023-06-21 15:47:20.979,slack_user13,slack_username13,Eli Boada-Lozano,Si,Si,['Rercursos humanos'],No,Si,Si,Si,Si,No,No,"Tuve reuniones, pero, no tenía dudas por aclarar",No,2,Suficientes pero mal distribuidos
